team,season,attendance
Manchester City,12/13,47044
Manchester Utd,12/13,75387
Arsenal,12/13,60000
Tottenham,12/13,36026
Newcastle Utd,12/13,49935
Chelsea,12/13,41478
Everton,12/13,33228
Liverpool,12/13,44253
Fulham,12/13,25293
West Brom,12/13,24798
Swansea City,12/13,19946
Norwich City,12/13,26605
Sunderland,12/13,39095
Stoke City,12/13,27225
Wigan Athletic,12/13,18633
Aston Villa,12/13,33873
QPR,12/13,17295
Bolton,12/13,23669
Blackburn,12/13,22551
Wolves,12/13,25682
West Ham,12/13,30923
Southampton,12/13,26420
Reading,12/13,19219
Manchester City,13/14,46974
Manchester Utd,13/14,75529
Arsenal,13/14,60079
Tottenham,13/14,36029
Newcastle Utd,13/14,50517
Chelsea,13/14,41462
Everton,13/14,36355
Liverpool,13/14,44748
Fulham,13/14,25394
West Brom,13/14,25359
Swansea City,13/14,20370
Norwich City,13/14,26671
Sunderland,13/14,40544
Stoke City,13/14,26731
Aston Villa,13/14,35059
Southampton,13/14,30873
West Ham,13/14,34719
Reading,13/14,23862
QPR,13/14,17779
Hull City,13/14,17368
Cardiff City,13/14,22998
Crystal Palace,13/14,20110
Wigan Athletic,13/14,19359
Manchester City,14/15,47080
Manchester Utd,14/15,75206
Arsenal,14/15,60013
Tottenham,14/15,35808
Newcastle Utd,14/15,50395
Chelsea,14/15,41481
Everton,14/15,37731
Liverpool,14/15,44671
West Brom,14/15,25193
Swansea City,14/15,20406
Sunderland,14/15,41089
Stoke City,14/15,26137
Aston Villa,14/15,36080
Southampton,14/15,30211
West Ham,14/15,34196
Crystal Palace,14/15,24114
Hull City,14/15,24116
Norwich City,14/15,26805
Fulham,14/15,24977
Cardiff City,14/15,27429
Leicester City,14/15,24994
Burnley,14/15,13421
QPR,14/15,16713
Manchester City,15/16,45365
Manchester Utd,15/16,75334
Arsenal,15/16,59991
Tottenham,15/16,35727
Newcastle Utd,15/16,50359
Chelsea,15/16,41546
Everton,15/16,38404
Liverpool,15/16,44658
West Brom,15/16,25063
Swansea City,15/16,20554
Sunderland,15/16,43157
Stoke City,15/16,26746
Aston Villa,15/16,34132
Southampton,15/16,30652
West Ham,15/16,34871
Crystal Palace,15/16,24421
Leicester City,15/16,31692
Hull City,15/16,23557
Burnley,15/16,19130
QPR,15/16,17808
Bournemouth,15/16,10265
Watford,15/16,16664
Norwich City,15/16,26369
Manchester City,16/17,54040
Manchester Utd,16/17,75278
Arsenal,16/17,59943
Tottenham,16/17,35775
Chelsea,16/17,41499
Everton,16/17,38124
Liverpool,16/17,43909
West Brom,16/17,24631
Swansea City,16/17,20710
Sunderland,16/17,43071
Stoke City,16/17,27534
Southampton,16/17,30750
West Ham,16/17,34910
Crystal Palace,16/17,24825
Leicester City,16/17,32020
Bournemouth,16/17,11188
Watford,16/17,20593
Newcastle Utd,16/17,49753
Aston Villa,16/17,33690
Norwich City,16/17,26972
Middlesbrough,16/17,24626
Burnley,16/17,16498
Hull City,16/17,17243
Manchester City,17/18,54018
Manchester Utd,17/18,75289
Arsenal,17/18,59956
Tottenham,17/18,31639
Chelsea,17/18,41507
Everton,17/18,39310
Liverpool,17/18,53016
West Brom,17/18,23876
Swansea City,17/18,20619
Stoke City,17/18,27433
Southampton,17/18,30936
West Ham,17/18,56971
Crystal Palace,17/18,25160
Leicester City,17/18,31893
Bournemouth,17/18,11182
Watford,17/18,20571
Burnley,17/18,20558
Sunderland,17/18,41286
Hull City,17/18,20761
Middlesbrough,17/18,30449
Brighton,17/18,27995
Huddersfield,17/18,22597
Newcastle Utd,17/18,51106
Manchester City,18/19,53812
Manchester Utd,18/19,74975
Arsenal,18/19,59322
Tottenham,18/19,67495
Chelsea,18/19,41281
Everton,18/19,38797
Liverpool,18/19,53049
Southampton,18/19,30793
West Ham,18/19,56884
Crystal Palace,18/19,25062
Leicester City,18/19,31583
Bournemouth,18/19,10640
Watford,18/19,20230
Burnley,18/19,20688
Huddersfield,18/19,24039
Brighton,18/19,30402
Newcastle Utd,18/19,51991
West Brom,18/19,24519
Swansea City,18/19,20622
Stoke City,18/19,29279
Cardiff City,18/19,20164
Fulham,18/19,20047
Wolves,18/19,28297
Manchester City,19/20,54130
Manchester Utd,19/20,74498
Arsenal,19/20,59898
Tottenham,19/20,54216
Chelsea,19/20,40436
Everton,19/20,39042
Liverpool,19/20,52982
Southampton,19/20,30138
West Ham,19/20,58335
Crystal Palace,19/20,25454
Leicester City,19/20,31850
Bournemouth,19/20,10531
Watford,19/20,20015
Burnley,19/20,20534
Brighton,19/20,30425
Newcastle Utd,19/20,51120
Wolves,19/20,31030
Huddersfield,19/20,23202
Fulham,19/20,24371
Cardiff City,19/20,31407
Aston Villa,19/20,38207
Sheffield Utd,19/20,26177
Norwich City,19/20,26013
Manchester City,20/21,37097
Manchester Utd,20/21,57415
Arsenal,20/21,47588
Tottenham,20/21,43756
Chelsea,20/21,32023
Everton,20/21,28847
Liverpool,20/21,41954
Southampton,20/21,23427
West Ham,20/21,44154
Crystal Palace,20/21,19784
Leicester City,20/21,25311
Burnley,20/21,15994
Brighton,20/21,22368
Newcastle Utd,20/21,35551
Wolves,20/21,24758
Sheffield Utd,20/21,24369
Aston Villa,20/21,28504
Bournemouth,20/21,7744
Watford,20/21,15353
Norwich City,20/21,19913
Fulham,20/21,18228
Leeds United,20/21,35321
West Brom,20/21,24162
Manchester City,21/22,526
Manchester Utd,21/22,526
Arsenal,21/22,631
Tottenham,21/22,631
Chelsea,21/22,526
Everton,21/22,367
Liverpool,21/22,836
Southampton,21/22,526
West Ham,21/22,631
Crystal Palace,21/22,447
Leicester City,21/22,421
Burnley,21/22,178
Brighton,21/22,523
Newcastle Utd,21/22,526
Wolves,21/22,236
Aston Villa,21/22,526
Leeds United,21/22,421
Sheffield Utd,21/22,263
West Brom,21/22,282
Fulham,21/22,210
Brentford,21/22,2000
Watford,21/22,1975
Norwich City,21/22,2000
Manchester City,22/23,52773
Manchester Utd,22/23,73150
Arsenal,22/23,59665
Tottenham,22/23,56522
Chelsea,22/23,36443
Everton,22/23,38446
Liverpool,22/23,53352
Southampton,22/23,30133
West Ham,22/23,58369
Crystal Palace,22/23,24587
Leicester City,22/23,32493
Brighton,22/23,30966
Newcastle Utd,22/23,51486
Wolves,22/23,30841
Aston Villa,22/23,41680
Brentford,22/23,16917
Leeds United,22/23,36308
Burnley,22/23,19278
Watford,22/23,20614
Norwich City,22/23,26836
Nott'ham Forest,22/23,27216
Bournemouth,22/23,9753
Fulham,22/23,17774
Manchester City,23/24,53249
Manchester Utd,23/24,73671
Arsenal,23/24,60190
Tottenham,23/24,61585
Chelsea,23/24,40002
Everton,23/24,39242
Liverpool,23/24,53163
West Ham,23/24,62462
Crystal Palace,23/24,24951
Brighton,23/24,31476
Newcastle Utd,23/24,52127
Wolves,23/24,31482
Aston Villa,23/24,39485
Nott'ham Forest,23/24,29187
Bournemouth,23/24,10362
Fulham,23/24,23746
Leeds United,23/24,36566
Leicester City,23/24,31887
Southampton,23/24,30440
Brentford,23/24,17077
Sheffield Utd,23/24,28746
Luton Town,23/24,9861
Burnley,23/24,19953
Manchester City,24/25,53011
Manchester Utd,24/25,73533
Arsenal,24/25,60236
Tottenham,24/25,61482
Chelsea,24/25,39523
Everton,24/25,39041
Liverpool,24/25,55979
West Ham,24/25,62567
Crystal Palace,24/25,24932
Brighton,24/25,32638
Newcastle Utd,24/25,52124
Wolves,24/25,31028
Aston Villa,24/25,41858
Nott'ham Forest,24/25,29385
Bournemouth,24/25,11103
Fulham,24/25,24301
Luton Town,24/25,11239
Burnley,24/25,21183
Sheffield Utd,24/25,30011
Brentford,24/25,17082
